model,model_type,accuracy,precision,recall,f1_score,roc_auc,avg_precision
Best ML (logistic_regression),ML,0.7951,0.7575,0.7691,0.7633,0.8639,0.8649
LSTM,Deep Learning,0.8116,0.8663,0.6636,0.7515,0.8564,0.8596
